states,states_code,id,year,population
Puerto Rico,PR,72,2016,3406672
Alabama,AL,1,2017,4874486
Alaska,AK,2,2017,739700
Arizona,AZ,4,2017,7044008
Arkansas,AR,5,2017,3001345
California,CA,6,2017,39358497
Colorado,CO,8,2017,5611885
Connecticut,CT,9,2017,3573297
Delaware,DE,10,2017,956823
District of Columbia,DC,11,2017,694906
Florida,FL,12,2017,20963613
Georgia,GA,13,2017,10410330
Hawaii,HI,15,2017,1424393
Idaho,ID,16,2017,1717715
Illinois,IL,17,2017,12778828
Indiana,IN,18,2017,6658078
Iowa,IA,19,2017,3141550
Kansas,KS,20,2017,2908718
Kentucky,KY,21,2017,4452268
Louisiana,LA,22,2017,4670560
Maine,ME,23,2017,1334612
Maryland,MD,24,2017,6023868
Massachusetts,MA,25,2017,6859789
Michigan,MI,26,2017,9973114
Minnesota,MN,27,2017,5566230
Mississippi,MS,28,2017,2988510
Missouri,MO,29,2017,6106670
Montana,MT,30,2017,1052482
Nebraska,NE,31,2017,1915947
Nevada,NV,32,2017,2969905
New Hampshire,NH,33,2017,1348787
New Jersey,NJ,34,2017,8885525
New Mexico,NM,35,2017,2091784
New York,NY,36,2017,19589572
North Carolina,NC,37,2017,10268233
North Dakota,ND,38,2017,754942
Ohio,OH,39,2017,11659650
Oklahoma,OK,40,2017,3931316
Oregon,OR,41,2017,4143625
Pennsylvania,PA,42,2017,12787641
Rhode Island,RI,44,2017,1055673
South Carolina,SC,45,2017,5021268
South Dakota,SD,46,2017,872868
Tennessee,TN,47,2017,6708799
Texas,TX,48,2017,28295273
Utah,UT,49,2017,3101042
Vermont,VT,50,2017,624344
Virginia,VA,51,2017,8463587
Washington,WA,53,2017,7423362
West Virginia,WV,54,2017,1817004
Wisconsin,WI,55,2017,5790186
Wyoming,WY,56,2017,578931
Puerto Rico,PR,72,2017,3325286
Alabama,AL,1,2018,4887681
Alaska,AK,2,2018,735139
Arizona,AZ,4,2018,7158024
Arkansas,AR,5,2018,3009733
California,CA,6,2018,39461588
Colorado,CO,8,2018,5691287
Connecticut,CT,9,2018,3571520
Delaware,DE,10,2018,965479
District of Columbia,DC,11,2018,701547
Florida,FL,12,2018,21244317
Georgia,GA,13,2018,10511131
Hawaii,HI,15,2018,1420593
Idaho,ID,16,2018,1750536
Illinois,IL,17,2018,12723071
Indiana,IN,18,2018,6695497
Iowa,IA,19,2018,3148618
Kansas,KS,20,2018,2911359
Kentucky,KY,21,2018,4461153
Louisiana,LA,22,2018,4659690
Maine,ME,23,2018,1339057
Maryland,MD,24,2018,6035802
Massachusetts,MA,25,2018,6882635
